supplier_name,region,product_type,product_name,product_code,price,unit,material,warranty_months,source_url,collected_at,collected_by,missing_evidence_fields
Nội thất Hòa Phát,"Hà Nội, TP.HCM",tủ hồ sơ,Tủ hồ sơ sắt TU09,TU09,2878300,cái,Thép sơn tĩnh điện,12,https://noithathoaphat.com.vn/products/T%E1%BB%A7-h%E1%BB%93-s%C6%A1-TU09.html,2026-09-19,B,"MOQ;inventory;delivery_days;discounts;trust_score"
Nội thất Hòa Phát,"Hà Nội, TP.HCM",tủ hồ sơ,Tủ hồ sơ sắt cửa lùa TU09K3BCK,TU09K3BCK,3862700,cái,Thép sơn tĩnh điện,12,https://noithathoaphat.com.vn/products/T%E1%BB%A7-H%E1%BB%93-S%C6%A1-S%E1%BA%AFt-C%E1%BB%ADa-L%C3%B9a-TU09K3BCK.html,2026-09-19,B,"MOQ;inventory;delivery_days;discounts;trust_score"
Nội thất Hòa Phát,"Hà Nội, TP.HCM",tủ hồ sơ,Tủ hồ sơ thép TU09D,TU09D,3103000,cái,Thép sơn tĩnh điện,12,https://noithathoaphat.com.vn/products/T%E1%BB%A7-h%E1%BB%93-s%C6%A1-th%C3%A9p-TU09D.html,2026-09-19,B,"MOQ;inventory;delivery_days;discounts;trust_score"
Nội thất Hòa Phát,"Hà Nội, TP.HCM",tủ hồ sơ,Tủ hồ sơ 2 buồng DC940VM9,DC940VM9,6184600,cái,Gỗ công nghiệp,,https://noithathoaphat.com.vn/products/T%E1%BB%A7-h%E1%BB%93-s%C6%A1-2-bu%E1%BB%93ng-DC940VM9.html,2026-09-19,B,"MOQ;inventory;delivery_days;warranty_months;discounts;trust_score"
Nội thất Hòa Phát,"Hà Nội, TP.HCM",tủ hồ sơ,Tủ hồ sơ 3 ngăn kéo TU3FD,TU3FD,2418200,cái,,,https://noithathoaphat.com.vn/products/T%E1%BB%A7-h%E1%BB%93-s%C6%A1-3-ng%C4%83n-k%C3%A9o-TU3FD.html,2026-09-19,B,"material;MOQ;inventory;delivery_days;warranty_months;discounts;trust_score"
Kệ Sắt Ngọc Tín,"TP.HCM, Hà Nội",kệ,Kệ siêu thị 4 tầng NTKST20,NTKST20,1200000,bộ,Thép sơn tĩnh điện,,https://kesatngoctin.com/san-pham/ke-sieu-thi-sieu-re-ntkst-20,2026-09-19,B,"MOQ;inventory;delivery_days;warranty_months;discounts;trust_score"
Kệ Sắt Ngọc Tín,"TP.HCM, Hà Nội",kệ,Kệ siêu thị 4 tầng NTKST27,NTKST27,980000,bộ,Thép sơn tĩnh điện,,https://kesatngoctin.com/san-pham/ke-sieu-thi-chat-luong-gia-re-ntkst-27,2026-09-19,B,"MOQ;inventory;delivery_days;warranty_months;discounts;trust_score"
Kệ Sắt Ngọc Tín,"TP.HCM, Hà Nội",kệ,Kệ siêu thị 4 tầng NTKST23,NTKST23,910000,bộ,Thép sơn tĩnh điện,,https://kesatngoctin.com/san-pham/ke-sieu-thi-chinh-hang-ntkst-23,2026-09-19,B,"MOQ;inventory;delivery_days;warranty_months;discounts;trust_score"
Kệ Sắt Ngọc Tín,"TP.HCM, Hà Nội",kệ,Kệ siêu thị 4 tầng NTKST28,NTKST28,910000,bộ,Thép sơn tĩnh điện,,https://kesatngoctin.com/san-pham/ke-sieu-thi-ntkst-28,2026-09-19,B,"MOQ;inventory;delivery_days;warranty_months;discounts;trust_score"
