row,supplier_name,product_name,source_url,http_status,csv_price,page_price,regular_price,price_status,variant_used,variant_table,csv_material,page_material_text,page_material,csv_warranty,page_warranty,ex_vat,material_status
80,Noi That Hoa Phat,Bàn chân sắt hộc liền 1m2 BRI120SHLC15,https://noithathoaphat.com.vn/products/Bàn-chân-sắt-hộc-liền-1m2-BRI120SHLC15.html,200,2525200,2525200,,ok,,,go_cong_nghiep,"Mặt gỗ công nghiệp Melamine, chân thép sơn tĩnh điện kết hợp mạ, yếm tôn",go_cong_nghiep,12,12,False,ok
81,Noi That Hoa Phat,Bàn chân sắt mặt gỗ 1m4 BRI140C15,https://noithathoaphat.com.vn/products/Bàn-chân-sắt-mặt-gỗ-1m4-BRI140C15.html,200,2247000,2247000,,ok,,,go_cong_nghiep,"Mặt gỗ công nghiệp Melamine, chân thép sơn tĩnh điện kết hợp mạ, yếm tôn",go_cong_nghiep,12,12,False,ok
82,Noi That Hoa Phat,Bàn chuyên viên chân sắt 1m2 BRI120SC15,https://noithathoaphat.com.vn/products/Bàn-chuyên-viên-chân-sắt-1m2-BRI120SC15.html,200,1904600,1904600,,ok,,,go_cong_nghiep,"Mặt gỗ công nghiệp Melamine, chân thép sơn tĩnh điện kết hợp mạ, yếm tôn",go_cong_nghiep,12,12,False,ok
83,Noi That Hoa Phat,Tủ hồ sơ 2 buồng DC940VM9,https://noithathoaphat.com.vn/products/Tủ-hồ-sơ-2-buồng-DC940VM9.html,200,6184600,6184600,,ok,,,go_cong_nghiep,Gỗ công nghiệp veneer kết hợp gỗ Melamine cao cấp,go_cong_nghiep,12,12,False,ok
84,Noi That Hoa Phat,Tủ hồ sơ 3 buồng DC1240V9,https://noithathoaphat.com.vn/products/Tủ-hồ-sơ-3-buồng-DC1240V9.html,200,9020100,9020100,,ok,,,go_cong_nghiep,Gỗ công nghiệp veneer sơn PU cao cấp,go_cong_nghiep,12,12,False,ok
85,Noi That Hoa Phat,Tủ hồ sơ 3 ngăn kéo TU3FD,https://noithathoaphat.com.vn/products/Tủ-hồ-sơ-3-ngăn-kéo-TU3FD.html,200,2418200,2418200,,ok,,,kim_loai,sắt sơn tĩnh điện,kim_loai,12,12,False,ok
86,Noi That Hoa Phat,Tủ hồ sơ 4 khoang TU09K8CK,https://noithathoaphat.com.vn/products/Tủ-hồ-sơ-4-khoang-TU09K8CK.html,200,6773100,6773100,,ok,,,kim_loai,Sắt sơn tĩnh điện,kim_loai,12,12,False,ok
87,Noi That Hoa Phat,Tủ hồ sơ 4 ngăn TU09K4D,https://noithathoaphat.com.vn/products/Tủ-hồ-sơ-4-ngăn-TU09K4D.html,200,3327700,3327700,,ok,,,kim_loai,Sắt sơn tĩnh điện,kim_loai,12,12,False,ok
88,Noi That Hoa Phat,Tủ hồ sơ 6 ngăn TU09K6D,https://noithathoaphat.com.vn/products/Tủ-hồ-sơ-6-ngăn-TU09K6D.html,200,3381200,3381200,,ok,,,kim_loai,Sắt sơn tĩnh điện,kim_loai,12,12,False,ok
89,Noi That Hoa Phat,Giá sắt 4 tầng GTT15-4P,https://noithathoaphat.com.vn/products/Gi%C3%A1-s%E1%BA%AFt-4-t%E1%BA%A7ng-GTT15%252d4P.html,200,2428900,2428900,,ok,,,kim_loai,Thép sơn tĩnh điện,kim_loai,12,12,False,ok
